time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-01 00:00:00+00:00,19,6,2,1
2024-01-02 00:00:00+00:00,6,5,35,4
2024-01-03 00:00:00+00:00,10,5,68,5
2024-01-04 00:00:00+00:00,9,4,73,3
2024-01-05 00:00:00+00:00,18,6,27,4
2024-01-06 00:00:00+00:00,7,5,34,6
2024-01-07 00:00:00+00:00,6,5,4,3
2024-01-08 00:00:00+00:00,12,8,30,8
2024-01-09 00:00:00+00:00,20,7,27,5
2024-01-10 00:00:00+00:00,17,8,40,6
2024-01-11 00:00:00+00:00,69,7,10,4
2024-01-12 00:00:00+00:00,16,7,3,2
2024-01-13 00:00:00+00:00,18,7,25,3
2024-01-14 00:00:00+00:00,7,5,65,1
