time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-24 00:00:00+00:00,5,4,24.0,12.0
2024-01-25 00:00:00+00:00,6,5,132.0,9.0
2024-01-26 00:00:00+00:00,7,6,22.0,7.0
2024-01-27 00:00:00+00:00,17,5,35.0,1.0
2024-01-28 00:00:00+00:00,17,5,11.0,1.0
2024-01-29 00:00:00+00:00,12,6,19.0,8.0
2024-01-30 00:00:00+00:00,9,5,124.0,7.0
2024-01-31 00:00:00+00:00,4,3,12.0,6.0
2024-02-01 00:00:00+00:00,17,5,62.0,8.0
2024-02-02 00:00:00+00:00,10,7,33.0,6.0
2024-02-03 00:00:00+00:00,5,4,5.0,4.0
2024-02-04 00:00:00+00:00,5,4,,
2024-02-05 00:00:00+00:00,7,6,25.0,5.0
2024-02-06 00:00:00+00:00,68,6,64.0,6.0
