time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-09 00:00:00+00:00,5,4,104.0,7.0
2023-11-10 00:00:00+00:00,6,4,4.0,2.0
2023-11-11 00:00:00+00:00,11,7,133.0,3.0
2023-11-12 00:00:00+00:00,14,4,66.0,5.0
2023-11-13 00:00:00+00:00,25,7,82.0,8.0
2023-11-14 00:00:00+00:00,7,6,118.0,8.0
2023-11-15 00:00:00+00:00,7,6,128.0,11.0
2023-11-16 00:00:00+00:00,11,5,33.0,5.0
2023-11-17 00:00:00+00:00,35,6,15.0,3.0
2023-11-18 00:00:00+00:00,4,3,,
2023-11-19 00:00:00+00:00,6,5,8.0,3.0
2023-11-20 00:00:00+00:00,8,7,24.0,4.0
2023-11-21 00:00:00+00:00,26,6,77.0,9.0
2023-11-22 00:00:00+00:00,4,2,92.0,9.0
